warehouse,0,58,57,57,59.6,114,109,61,102,56.8,62,82,73,55,89,35,100,75,77,58.6,25,81,127,59,0
Carlos III Hospital,58,0,4.5,15,10,54.8,50,10,42.5,11,15.7,37.5,26,8.3,28,26,53.5,26,26.5,1.6,35,22,77,17,959.6658891
Central Hospital of the San José and Santa Adela Red Cross,57,4.5,0,11,1.7,52.5,47.7,14,40,6.3,16,33,22,4,24.6,25.5,53.5,22.4,30.8,4.5,34,20,73,16.4,112.9881857
CENTRAL DEFENSE HOSPITAL GOMEZ ULLA,57,15,11,0,10.5,57,52,22.4,44.6,9.1,7,24,12,15.7,15.7,34.6,45,13.5,8.6,16.5,43,16.5,64,16.6,381.5185492
San Carlos Clinical Hospital,59.6,10,1.7,10.5,0,52,47,17.5,39.5,8.3,15.3,32.6,21.6,6,24,27.5,53,22,30,11.4,36,19,72.5,22.8,631.7066747
EL ESCORIAL HOSPITAL,114,54.8,52.5,57,52,0,8.3,57.5,17,63,61,64.5,70,56,56,52,99,56.5,65,54,91,42,58,68,68.96681466
Guadarrama Hospital,109,50,47.7,52,47,8.3,0,53,12.4,58.5,56,60,65,51,51,77.4,94.5,52,60,49.5,86,37,65,64,105.6512905
HOSPITAL DR. R. LAFORA,61,10,14,22.4,17.5,57.5,53,0,46,18,23,45,31,17,37,32,63,33,38,9,41,25,87,28,245.0522989
VILLALBA GENERAL HOSPITAL,102,42.5,40,44.6,39.5,17,12.4,46,0,51,46,52,53,42,43,71,87,44,53,42,80,30,92,59,117.3903228
Gregorio Marañón University General Hospital,56.8,11,6.3,9.1,8.3,63,58.5,18,51,0,6,26,17,3,25,24,46,22,18,11,33,32,74,10,1225.995184
University Hospital October 12,62,15.7,16,7,15.3,61,56,23,46,6,0,19,10,10,19,30,43,15,12,16,39,26,67,10,921.5140342
University Hospital of Fuenlabrada,82,37.5,33,24,32.6,64.5,60,45,52,26,19,0,10,32,14,47,35,12,12,38,56,23,62,28,297.8779442
Getafe University Hospital,73,26,22,12,21.6,70,65,31,53,17,10,10,0,20,18,39,37,19,4,26,48,28,67,17,476.8981865
University Hospital of La Princesa,55,8.3,4,15.7,6,56,51,17,42,3,10,32,20,0,28,22,49,27,23,9,31,23,79,12,413.800888
University Hospital of Móstoles,89,28,24.6,15.7,24,56,51,37,43,25,19,14,18,28,0,50,47,5,14,30,55,15,52,28,190.7592746
UNIVERSITY HOSPITAL OF TORREJON,35,26,25.5,34.6,27.5,52,77.4,32,71,24,30,47,39,22,50,0,66,43,45,26,10,49,95,26,183.4223794
HOSPITAL UNIVERSITARIO DEL TAJO,100,53.5,53.5,45,53,99,94.5,63,87,46,43,35,37,49,47,66,0,48,41,54,73,58,96,45,66.03205659
Alcorcón Foundation University Hospital,75,26,22.4,13.5,22,56.5,52,33,44,22,15,12,19,27,5,43,48,0,11,28,52,16,54,25,366.8447588
JOSE GERMAIN UNIVERSITY HOSPITAL,77,26.5,30.8,8.6,30,65,60,38,53,18,12,12,4,23,14,45,41,11,0,32,47,24,62,22,840.8081872
La Paz University Hospital,58.6,1.6,4.5,16.5,11.4,54,49.5,9,42,11,16,38,26,9,30,26,54,28,32,0,36,22,84,17,959.6658891
Prince of Asturias University Hospital,25,35,34,43,36,91,86,41,80,33,39,56,48,31,55,10,73,52,47,36,0,58,104,35,440.2137106
Puerta de Hierro Majadahonda University Hospital,81,22,20,16.5,19,42,37,25,30,32,26,23,28,23,15,49,58,16,24,22,58,0,64,35,449.7516743
Virgen de la Poveda Hospital,127,77,73,64,72.5,58,65,87,92,74,67,62,67,79,52,95,96,54,62,84,104,64,0,77,146.7379035
Virgen de la Torre Hospital,59,17,16.4,16.6,22.8,68,64,28,59,10,10,28,17,12,28,26,45,25,22,17,35,35,77,0,146.7379035
